,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
275,57.5,03:03,05:09,10:12,17:40,29:00,36:40,1:00:43,1:21:04,2:49:24
276,57.6,03:03,05:08,10:11,17:39,28:57,36:37,1:00:37,1:20:57,2:49:09
277,57.7,03:02,05:07,10:10,17:37,28:55,36:33,1:00:32,1:20:50,2:48:54
278,57.8,03:02,05:07,10:09,17:36,28:52,36:30,1:00:27,1:20:43,2:48:39
279,57.9,03:02,05:07,10:08,17:34,28:49,36:27,1:00:21,1:20:35,2:48:24
280,58.0,03:02,05:06,10:07,17:33,28:47,36:23,1:00:16,1:20:28,2:48:09
281,58.1,03:02,05:05,10:06,17:31,28:45,36:21,1:00:10,1:20:20,2:47:54
282,58.2,03:01,05:05,10:05,17:30,28:42,36:17,1:00:05,1:20:13,2:47:40
283,58.3,03:01,05:04,10:04,17:28,28:40,36:14,1:00:00,1:20:07,2:47:25
284,58.4,03:01,05:04,10:04,17:26,28:37,36:11,59:54,1:20:00,2:47:10
285,58.5,03:01,05:04,10:03,17:25,28:34,36:08,59:49,1:19:52,2:46:55
286,58.6,03:00,05:03,10:02,17:23,28:32,36:04,59:43,1:19:45,2:46:41
